prefix,input_text,target_text
webNLG,['Ajoblanco | country | Spain'],"['Ajoblanco originates from the country of Spain.', 'Ajoblanco is from Spain.']"
webNLG,['Binignit | mainIngredients | Sago'],"['One of the main ingredients in Binignit is sago.', 'Sago is the main ingredient in binignit.', 'Sago is the main ingredient of binignit.']"
webNLG,['Binignit | mainIngredients | Sweet_potato'],"['The main ingredients of binignit are sweet potatotes.', 'One of the main ingredients of Binignit is the sweet potato.']"
webNLG,['Binignit | mainIngredients | Taro'],"['Taro is a main ingredient of Binignit.', 'One of the main ingredients of Binignit is Taro.', 'Taro is a main ingredient in Binignit.']"
webNLG,['Binignit | region | Mindanao'],['Binignit comes from the region Mindanao.']
webNLG,['Bionico | country | Mexico'],['Bionico is a food found in Mexico.']
webNLG,['Bionico | course | Dessert'],"['Bionico is served at the dessert course.', 'Bionico is a dish served for dessert.', 'Bionico is a dessert.']"
webNLG,['Bionico | dishVariation | Honey'],"['Honey can be used as a variation in the dish Bionico.', 'Honey can be added to bionico.']"
webNLG,['Bionico | ingredient | Condensed_milk'],"['Condensed milk is an ingredient of Bionico.', 'Condensed milk is an ingredient in Bionico.', 'Condensed milk is used in bionico,.']"
webNLG,['Bionico | ingredient | Granola'],"['Bionico requires granola as one of its ingredients.', 'Granola is an ingredient of Bionico.']"
webNLG,['Bionico | ingredient | Raisin'],['Bionico contains raisins.']
webNLG,['Bionico | ingredient | Sour_cream'],"['Sour cream is an ingredient of Bionico.', 'Sour cream is an ingredient used in the preparation of Bionico.', 'sour cream is an ingredient in Bionico.']"
webNLG,"['Bionico | mainIngredients | ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins""']","['Sour cream, chopped fruits, condensed milk. granola, raisins and shredded coconut are the main ingredients in Bionico.', 'The main ingredients of Bionico are chopped fruits, sour cream, condensed milk, granola, shredded coconut and raisins.', 'Chopped Fruits, sour cream, condensed milk, granola, shredded coconut and raisins are the main ingredients in bionico.']"
webNLG,['Bionico | region | Guadalajara'],"['Bionico can be found in Guadalajara.', 'Bionico is from the Guadalajara region.']"
webNLG,['Catalonia | leaderName | Carles_Puigdemont'],"['The leader of Catalonia is Carles Puigdemont.', 'Carles Puigdemont is a leader in Catalonia.', 'Carles Puigdemont is the leader of Catalonia.']"
webNLG,['Catalonia | leaderName | Parliament_of_Catalonia'],"['Catalonia is led by the Parliament of Catalonia.', 'The leaders of Catalonia are the Parliament of Catalonia.']"
webNLG,['Celery | family | Apiaceae'],"['Celery is in the family of Apiaceae.', 'Celery is a member of the family Apiaceae.']"
webNLG,['Celery | genus | Apium'],"['Celery is a member of the genus Apium.', 'Celery is of the Apium genus.', 'Celery is from the genus apium.']"
webNLG,['Chicharrón | country | Spain'],"['Chicharrón is a dish traditional in Spain.', 'Chicharrón is a dish found in the country of Spain.']"
webNLG,['Chicharrón | region | Andalusia'],"['Chicharrón is found in the Andalusia region.', 'Chicharron is from the Andalusia region.']"
webNLG,['China | language | Standard_Chinese'],"['Standard Chinese is the language of China.', 'Standard Chinese is a language in China.']"
webNLG,['Derbyshire_Dales | administrativeCounty | Derbyshire'],['Derbyshire Dales is found in the County of Derbyshire.']
webNLG,['Derbyshire_Dales | isPartOf | Derbyshire'],"['Derbyshire Dales is part of Derbyshire.', 'The Derbyshire Dales is part of Derbyshire.']"
webNLG,['Dessert | dishVariation | Cookie'],"['Cookie is a type of dessert.', 'A cookie is a dessert.']"
webNLG,['Dessert | dishVariation | Sandesh_(confectionery)'],"['Sandesh (confectionery) is a dish that can be served as a dessert.', 'Sandesh is a nice confectionery dessert.', 'sandesh is a dessert.']"
webNLG,['France | currency | Euro'],"['In France the currency is the Euro.', 'The Euro is the currency in France.', 'the currency of France is the Euro.']"
webNLG,['France | language | French_language'],"['The French language is spoken in France.', 'French is the national language of France.', 'French is a language spoken in France.']"
webNLG,['France | leaderName | Claude_Bartolone'],"['Claude Bartolone is a leader of France.', ""Claude Bartolone is France's leader."", 'Claude Bartolone leads France.']"
webNLG,['France | leaderName | François_Hollande'],"['The leader of France is Francois Hollande.', 'François Hollande is the leader of France.']"
webNLG,['France | leaderName | Gérard_Larcher'],"['The leader of France is Gérard Larcher.', 'Gerard Larcher is the leader of France.']"
webNLG,['France | leaderName | Manuel_Valls'],"['The leader of France is Manuel Valls.', 'Manuel Valls is a leader in France.', 'Manual Valls is the leader of France.']"
webNLG,['Fried_chicken | mainIngredients | Chicken'],"['A main ingredient of fried chicken is chicken.', 'The main ingredient of fried chicken is chicken.']"
webNLG,['Guadalajara | country | Mexico'],"['Guadalajara is in the country of Mexico.', 'Guadalajara is located in Mexico.']"
webNLG,['Hong_Kong | language | Chinese_language'],"['In Hong Kong, the spoken language is Chinese.', 'Chinese is spoken in Hong Kong.', 'Chinese is a language of Hong Kong.']"
webNLG,['Hong_Kong | leaderName | Carrie_Lam_(politician)'],"['Carrie Lam is a political leader in Hong Kong.', 'Politician Carrie Lam is the leader of Hong Kong.', 'Carrie Lam is the leader of Hong Kong.']"
webNLG,['India | demonym | Indian_people'],"['Indian people are from India.', 'Indians is the name given to people from India.']"
webNLG,['India | leaderName | Narendra_Modi'],"['Narendra Modi is a leader in India.', 'Narendra Modi is the name of the leader of India.', 'Narendra Modi is the leader of India.']"
webNLG,['India | leaderName | T._S._Thakur'],"[""T. S. Thakur is India's leader."", 'The leader of India is called T. S. Thakur.', 'T.S. Thakur is the leader of India.']"
webNLG,['Indonesia | capital | Jakarta'],"['The capital of Indonesia is Jakarta.', 'Jakarta is the capital of Indonesia.']"
webNLG,['Indonesia | currency | Indonesian_rupiah'],"['In Indonesia the currency is the Indonesian rupiah.', 'Money in Indonesia is called the Indonesian rupiah.', ""Indonesia's currency is the Indonesian rupiah.""]"
webNLG,['Indonesia | leaderName | Joko_Widodo'],"['Joko Widodo is the leader of Indonesia.', 'Joko Widodo is the leader in Indonesia.', ""Indonesia's leader's name is Joko Widodo.""]"
webNLG,['Italy | capital | Rome'],"['Rome is the capital of Italy.', 'The capital of Italy is Rome.']"
webNLG,['Italy | language | Italian_language'],"['The spoken language in Italy is Italian.', 'Italian is the language spoken in Italy.', 'The language of Italy is Italian.']"
webNLG,['Italy | leaderName | Laura_Boldrini'],"['The leader of Italy is Laura Boldrini.', 'Laura Boldrini is a key leader in Italy.', 'The leader in Italy is Laura Boldrini.']"
webNLG,['Italy | leaderName | Matteo_Renzi'],"['Matteo Renzi is a leader from Italy.', 'The leader of Italy is Matteo Renzi.']"
webNLG,['Italy | leaderName | Pietro_Grasso'],"['Pietro Grasso is the leader of Italy.', 'Pietro Grasso leads Italy.']"
webNLG,['Italy | leaderName | Sergio_Mattarella'],"['Sergio Mattarella is a leader in Italy.', 'Sergio Mattarella is the leader of Italy.']"
webNLG,['Jalisco | leaderName | Jesús_Casillas_Romero'],"['The leader of Jalisco is Jesús Casillas Romero.', ""Jesús Casillas Romero is the name of Jalisco's leader."", 'The name of the leader in Jalisco is Jesus Casillas Romero.']"
webNLG,['Java | ethnicGroup | Javanese_people'],"['The Javanese people are an ethnic group of Java.', 'The Javenese people are an ethnic group in Java.']"
webNLG,['Karnataka | leaderName | Vajubhai_Vala'],"['The leader of Karnataka is Vajubhai Vala.', 'Vajubhai Vala is a leader of Karnatka.', 'Vajubhai Vala is the leader of Karnataka.']"
webNLG,['Lemon | family | Rutaceae'],"['The lemon belongs to the rutaceae family.', 'Lemon is a member of the family Rutaceae.']"
webNLG,['Lemon | genus | Citrus'],"['Lemon is part of genus Citrus.', 'Lemon is from the genus citrus.']"
webNLG,['Lemon | order | Sapindales'],"['A lemon is included in the order of Sapindales.', 'Lemon comes from the plant order Sapindales.', 'lemons are classified in the order sapindales.']"
webNLG,['Malaysia | capital | Kuala_Lumpur'],"['The capital of Malaysia is Kuala Lumpur.', 'Kuala Lumpur is the Malaysian capital.', 'Kuala Lumpur is the capital of Malaysia.']"
webNLG,['Malaysia | capital | Putrajaya'],"['The capital of Malaysia is Putrajaya.', 'Putrajaya is the capital of Malaysia.']"
webNLG,['Malaysia | ethnicGroup | Malaysian_Chinese'],"['The Malaysian chinese are an ethnic group from Malaysia.', 'Malaysian Chinese is an ethnic group from Malaysia.']"
webNLG,['Malaysia | ethnicGroup | Malaysian_Indian'],"['Malaysian Indian is one of the ethnic groups on Malaysia.', 'one of the ethnic groups of Malaysia is Malaysian Indian.']"
webNLG,['Malaysia | leaderName | Abdul_Halim_of_Kedah'],"['The leader of Malaysia is Abdul Halim of Kedah.', 'Abdul Halim of Kedah is the leader of Malaysia.']"
webNLG,['Malaysia | leaderName | Abu_Zahar_Ujang'],"['Abu Zahar Ujang is a leader in Malaysia.', 'Abu Zahar Ujang is the name of the leader of Malaysia.', 'Abu Zahar Ujang is the leader of Malaysia.']"
webNLG,['Malaysia | leaderName | Arifin_Zakaria'],"['Arifin Zakaria is the name of the leader of Malaysia.', 'Arifin Zakaria is the leader of Malaysia.']"
webNLG,['Malaysia | leaderName | Najib_Razak'],"['Najib Razak is the leader of Malaysia.', 'the name of the leader of Malaysia is Najib Razak.']"
webNLG,['Mexico | currency | Mexican_peso'],"['The currency in Mexico is the peso.', 'The currency in Mexico is the Mexican peso.', 'The currency of Mexico is the peso.']"
webNLG,['Mexico | language | Mexican_Spanish'],"['In Mexico one of the languages spoken is Mexican Spanish.', 'Mexican Spanish is the language spoken in Mexico.', 'Mexican Spanish is spoken in Mexico.']"
webNLG,['Mexico | leaderName | Enrique_Peña_Nieto'],"['The leader of Mexico is Enrique Peña Nieto.', 'Enrique Pena Nieto is a leader in Mexico.', 'Enrique Pena Nieto is the leader of Mexico.']"
webNLG,['Mondelez_International | foundationPlace | Chicago'],['Mondelez International was founded in Chicago.']
webNLG,['New_York | language | Arabic'],"['Arabic is one of the languages that is spoken in New York.', 'Arabic is one language spoken in New York.']"
webNLG,['New_York | language | French_language'],"['The French Language can be heard in New York.', 'French is a language in New York.']"
webNLG,['Pakora | dishVariation | Cauliflower'],"['As a dish variation on a pakora, cauliflower can be used.']"
webNLG,['Pakora | dishVariation | Paneer'],['Pakora can be varied by using paneer.']
webNLG,['Philippines | ethnicGroup | Chinese_Filipino'],"['The Chinese Filipino is an ethnic group in the Philippines.', 'Chinese Filipino people are from the Philippines.']"
webNLG,['Philippines | ethnicGroup | Igorot_people'],"['The Igorot people are an ethnic group in the Philippines.', 'Igorot people are part of one of the ethnic groups in the Philippines.', 'one of the ethnic groups of the Philippines is the Igorot people.']"
webNLG,['Philippines | ethnicGroup | Ilocano_people'],"['Ilocano people are an ethnic group from the Philippines.', 'The llocano people are an ethnic group from the Philippines.']"
webNLG,['Philippines | ethnicGroup | Moro_people'],"['The Moro people are an ethnic group in the Philippines.', 'Moro people is an ethnic group in the Philippines.', 'people of Moro ethnicity are from the Philippines.']"
webNLG,['Philippines | ethnicGroup | Zamboangans'],"['Zamboangans are a group in the Philippines.', 'one of the ethnic groups of the Philippines is the Zamboangans.']"
webNLG,['Philippines | language | Philippine_English'],"['Philippine English is the language spoken in the Philippines.', 'Philippine English is the language of the Philippines.']"
webNLG,['Philippines | language | Philippine_Spanish'],"['In the Philippines, the spoken language is Philippine Spanish.', 'The language used in the Philippines is Philippine Spanish.', 'The language spoken in the Philippines is Philippine Spanish.']"
webNLG,['Philippines | officialLanguage | Philippine_English'],"['The official language in the Philippines is Philippine English.', 'Philippine English is the official language of the Philippines.']"
webNLG,['Shumai | dishVariation | Siomay'],"['Siomay is a variation on shumai.', 'A variation of Shumai is Siomay.', 'Shumai is a variation of Siomay.']"
webNLG,['Shumai | ingredient | Shiitake'],['Shiitake is an ingredient of Shumai.']
webNLG,['Singapore | currency | Singapore_dollar'],"['The currency of Singapore is the Singapore dollar.', 'Singapore dollar is the currency in Singapore.']"
webNLG,['Singapore | language | English_language'],"['The English language is spoken in Singapore.', 'One of the languages spoken in Singapore is English.', 'English is spoken in Singapore.']"
webNLG,['Singapore | language | Standard_Chinese'],"['Standard Chinese is a language spoken in Singapore.', 'Standard Chinese is spoken in Singapore.']"
webNLG,['Singapore | leaderName | Halimah_Yacob'],"['Halimah Yacob is a leader of Singapore.', ""Halimah Yacob is the name of Singapore's leader."", 'Halimah Yacob leads Singapore.']"
webNLG,['Singapore | leaderName | Tony_Tan'],"['The leader of Singapore is Tony Tan.', 'Tony Tan is a leader in Singapore.', 'Tony Tan is the leader of Singapore.']"
webNLG,['Siomay | dishVariation | Batagor'],"['Batagor and Siomay are variation of the same dish.', 'Batagor is a dish variation of Siomay.', 'Batagor is a variation of Siomay.']"
webNLG,['Spain | currency | Euro'],"['Spain uses the euro for its currency.', 'The Euro is the currency in Spain.', 'The currency of Spain is Euro.']"
webNLG,['Spain | demonym | Spaniards'],"['Spaniards are from Spain.', 'Spaniards is the name for the people of Spain.']"
webNLG,['Spain | ethnicGroup | Spaniards'],"['Spaniards are the ethnic group of Spain.', 'The ethnic group for Spain is Spaniards.']"
webNLG,['Spain | language | Spanish_language'],"['In Spain the language spoken is the Spanish language.', 'The Spanish language is spoken in Spain.', 'the language of Spain is Spanish.']"
webNLG,['Spain | leaderName | Felipe_VI_of_Spain'],"['The leader of Spain is Felipe VI of Spain.', 'Felipe VI of Spain is the leader of Spain.']"
webNLG,['Sumatra | ethnicGroup | Acehnese_people'],"['One the ethnic groups on Sumatra is the Acehnese people.', 'Acehnese people form one of the ethnic groups in Sumatra.', 'Acehnese people are an ethnic group in Sumatra.']"
webNLG,['Sumatra | ethnicGroup | Batak'],"['Batak is the ethnic group in Sumatra.', 'Batak is an ethnic group found in Sumatra.', 'Batak is an ethnic group in Sumatra.']"
webNLG,['Sumatra | ethnicGroup | Minangkabau_people'],"['The Minangkabau people are an ethnic group of Sumatra.', 'Sumatra has an ethnic group called the Minangkabau people.']"
webNLG,['Sweet_potato | division | Flowering_plant'],['Sweet potato belongs to flowering plants.']
webNLG,['Sweet_potato | order | Solanales'],"['Sweet potato belongs to the Solanales order of plants.', 'Sweet potato are part of the order of Solanales.', 'Sweet potato is of the order Solanales.']"
webNLG,['Tomato | division | Flowering_plant'],['Tomato is part of the flowering plant division.']
webNLG,['Tomato | family | Solanaceae'],"['Tomato belongs to the family of solanaceae.', 'The tomato comes from the Solanaceae family.', 'The tomato belongs to the family of Solanaceae.']"
webNLG,['Tomato | genus | Solanum'],['Tomato belongs to the genus Solanum.']
webNLG,['Tomato | order | Solanales'],"['The tomato is of the order Solanales.', 'Tomato is one of the members of the order Solanales.']"
webNLG,['United_Kingdom | capital | London'],"['London is the Capital of the United Kingdom.', 'London is the capital city of the United Kingdom.', 'London is the capital of the UK.']"
webNLG,['United_Kingdom | language | English_language'],"['The language of the United Kingdom is the English language.', 'English is the language spoken in the United Kingdom.', 'English is spoken in the UK.']"
webNLG,['United_Kingdom | leaderName | Elizabeth_II'],"['Elizabeth II is the leader of the United Kingdom.', 'Elizabeth II is the leader of the UK.', 'Elizabeth II is the head of state in the United Kingdom.']"
webNLG,"['United_States | capital | Washington,_D.C.']","['The capital of the U.S. is Washington, D.C.', 'Washington, D.C is the capital of the United States.', 'The capital of the United States is Washington, D.C.']"
webNLG,['United_States | ethnicGroup | African_Americans'],"['African Americans are an ethic group in the United States.', 'African Americans are one of the ethnic groups in the United States.', 'African Americans are an ethnic group in the U.S.']"
webNLG,['United_States | ethnicGroup | Asian_Americans'],"['Asian Americans are an ethnic group in the United States.', 'Asian Americans are one of the ethnic groups in the United States.']"
webNLG,['United_States | ethnicGroup | White_Americans'],"['White Americans are an ethnic group in the United States.', 'White Americans are one of the ethnic groups in the United States.']"
webNLG,['United_States | language | English_language'],"['The English language is used in the United States.', 'English is the language of the United States.', 'English is a language spoken in the United States.']"
webNLG,['United_States | leaderName | Barack_Obama'],"['Barack Obama is a leader of the United States.', 'Barack Obama is the leader of the United States.', 'Barack Obama is the leader of United States.']"
webNLG,['United_States | leaderName | Joe_Biden'],"['Joe Biden is a leader of the United States.', 'Joe Biden is one of the leaders of the United States.', 'Joe Biden is a political leader in the U.S.']"
webNLG,['United_States | leaderName | John_Roberts'],"['John Roberts is a leader in the United States.', 'John Roberts is the leader of the United States.']"
webNLG,['United_States | leaderName | Paul_Ryan'],"['Paul Ryan is a leader in United States.', 'United States leader is called Paul Ryan.', 'Paul Ryan is a leader in the U.S.']"
webNLG,['United_States | leaderTitle | President_of_the_United_States'],"['The leader of the United States is called the President.', 'The leader of the United States has a title of President.']"
webNLG,['Valencian_Community | leaderName | Ximo_Puig'],"['The leader of the community of Valencia is Ximo Puig.', 'Ximo Puig is a leader in the Valencian Community.', 'Ximo Puig is a leader of the Valencian Community.']"
